,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
322,Lima,-77.0282,-77.0282,73.0,73,0,18.41,PE,1618953960
323,Balezino,53.0106,53.0106,34.43,61,4,4.14,RU,1618953990
324,Broome,-75.833,-75.833,51.01,66,75,10.36,US,1618953926
325,Taoudenni,-3.9836,-3.9836,88.23,9,47,7.23,ML,1618953990
326,Atar,-13.0499,-13.0499,85.46,12,68,5.32,MR,1618953991
327,São José da Coroa Grande,-35.1478,-35.1478,78.85,80,52,7.02,BR,1618953878
328,Saquena,-73.5167,-73.5167,79.25,91,68,4.99,PE,1618953991
329,Beringovskiy,179.3167,179.3167,23.18,76,11,2.24,RU,1618953992
330,Rock Sound,-76.2,-76.2,79.47,78,100,8.34,BS,1618953992
331,Muisne,-80.0333,-80.0333,80.6,83,75,13.8,EC,1618953993
332,Portland,-122.6762,-122.6762,73.99,16,20,10.36,US,1618953566
333,Ashquelon,34.5715,34.5715,66.99,100,1,6.29,IL,1618953993
334,Changji,87.3167,87.3167,55.4,47,0,8.95,CN,1618953988
335,Anadyr,177.4833,177.4833,14.0,85,20,4.47,RU,1618953994
336,Makkah al Mukarramah,39.8261,39.8261,87.24,34,36,4.21,SA,1618953994
337,Wajid,43.2471,43.2471,80.62,68,99,15.32,SO,1618953995
338,Mugur-Aksy,90.5,90.5,17.55,84,100,7.45,RU,1618953995
339,Karlskrona,15.5866,15.5866,37.4,100,11,1.14,SE,1618953995
340,New Norfolk,147.0587,147.0587,39.0,87,12,3.22,AU,1618953996
341,Korla,86.1469,86.1469,62.31,30,67,1.48,CN,1618953996
342,Galle,80.217,80.217,78.67,84,100,6.26,LK,1618953997
343,Kattivākkam,80.3167,80.3167,82.4,83,20,3.44,IN,1618953997
344,Adrar,-10.0711,-10.0711,85.24,7,94,7.72,MR,1618953998
345,Bengkulu,102.2655,102.2655,75.7,89,58,3.69,ID,1618953998
346,Carballo,-8.691,-8.691,52.0,91,38,1.28,ES,1618953999
347,Puerto Madero,-92.4215,-92.4215,93.2,46,20,11.5,MX,1618953950
348,College,-147.8028,-147.8028,41.0,38,20,13.8,US,1618953870
349,Rio Grande,-52.0986,-52.0986,71.6,78,75,16.11,BR,1618954000
350,Hornepayne,-84.7705,-84.7705,23.92,59,100,9.78,CA,1618954000
351,Salalah,54.0924,54.0924,80.6,83,0,1.14,OM,1618954000
